Rk,Player,Pos,Age,Tm,MP,FG,FGA,FG%,TRB,AST,STL,BLK,PTS,STARS
136,Doug McDermott,PF,28,IND,19.9,3.9,7.9,0.488,2.5,1.1,0.2,0.1,10.3,3
137,Shabazz Napier,PG,28,WAS,24,3.4,8.1,0.412,2.8,4.7,1.2,0.2,10.3,3
138,Larry Nance Jr.,C,27,CLE,26.3,4.1,7.7,0.531,7.3,2.2,1,0.4,10.1,3
139,Ben McLemore,SG,26,HOU,22.8,3.4,7.7,0.444,2.2,0.8,0.6,0.2,10.1,3
140,Josh Hart,SF,24,NOP,27,3.5,8.2,0.423,6.5,1.7,1,0.4,10.1,3
141,Bobby Portis,C,24,NYK,21.1,4,8.9,0.45,5.1,1.5,0.5,0.3,10.1,3
142,Kevin Porter Jr.,SF,19,CLE,23.2,3.7,8.4,0.442,3.2,2.2,0.9,0.3,10,3
143,Tomas Satoransky,PG,28,CHI,28.9,3.6,8.5,0.43,3.9,5.4,1.2,0.1,9.9,3
144,Furkan Korkmaz,SG,22,PHI,21.7,3.4,7.8,0.43,2.3,1.1,0.6,0.2,9.8,3
145,Joe Ingles,SF,32,UTA,29.7,3.4,7.7,0.445,3.9,5.2,0.9,0.2,9.8,3
146,Mitchell Robinson,C,21,NYK,23.1,4.1,5.6,0.742,7,0.6,0.9,2,9.7,3
147,Markieff Morris,PF,30,LAL,20.5,3.5,7.9,0.443,3.8,1.3,0.5,0.3,9.7,3
148,Dorian Finney-Smith,PF,26,DAL,29.9,3.4,7.4,0.466,5.7,1.6,0.6,0.5,9.5,3
149,Aaron Holiday,PG,23,IND,24.5,3.5,8.5,0.414,2.4,3.4,0.8,0.2,9.5,3
150,George Hill,PG,33,MIL,21.5,3.3,6.4,0.516,3,3.1,0.8,0.1,9.4,3
151,Michael Porter Jr.,PF,21,DEN,16.4,3.5,7,0.509,4.7,0.8,0.5,0.5,9.3,3
152,Marquese Chriss,PF,22,GSW,20.3,3.6,6.5,0.545,6.2,1.9,0.7,1.1,9.3,3
153,Landry Shamet,SG,22,LAC,27.4,3,7.4,0.404,1.9,1.9,0.4,0.2,9.3,3
154,Kentavious Caldwell-Pope,SG,26,LAL,25.5,3.4,7.3,0.467,2.1,1.6,0.8,0.2,9.3,3
155,Daniel Theis,C,27,BOS,24.1,3.7,6.6,0.566,6.6,1.7,0.6,1.3,9.2,3
156,Donte DiVincenzo,SG,23,MIL,23,3.5,7.7,0.455,4.8,2.3,1.3,0.3,9.2,3
157,Jarrett Culver,SG,20,MIN,23.9,3.7,9,0.404,3.4,1.7,0.9,0.6,9.2,3
158,Maxi Kleber,C,28,DAL,25.5,3.2,6.9,0.461,5.2,1.2,0.3,1.1,9.1,3
159,Mikal Bridges,SF,23,PHO,28,3.4,6.6,0.51,4,1.8,1.4,0.6,9.1,3
160,Monte Morris,PG,24,DEN,22.4,3.6,7.8,0.459,1.9,3.5,0.8,0.2,9,3
161,Sviatoslav Mykhailiuk,SF,22,DET,22.6,3,7.2,0.41,1.9,1.9,0.7,0.1,9,3
162,Derrick Favors,C,28,NOP,24.4,4.1,6.6,0.617,9.8,1.6,0.6,0.9,9,3
163,Bruce Brown,SG,23,DET,28.2,3.4,7.7,0.443,4.7,4,1.1,0.5,8.9,3
164,Gary Trent Jr.,SG,21,POR,21.8,3.2,7.2,0.444,1.6,1,0.8,0.3,8.9,3
165,Jordan Poole,SG,20,GSW,22.4,2.9,8.8,0.333,2.1,2.4,0.6,0.2,8.8,3
166,Austin Rivers,SG,27,HOU,23.4,3.1,7.4,0.421,2.6,1.7,0.7,0.1,8.8,3
167,Cameron Johnson,PF,23,PHO,22,3.1,7.1,0.435,3.3,1.2,0.6,0.4,8.8,3
168,Kent Bazemore,SF,30,SAC,24.8,2.9,7.9,0.375,4.3,1.4,1.1,0.6,8.8,3
169,Josh Okogie,SG,21,MIN,25,2.7,6.4,0.427,4.3,1.6,1.1,0.4,8.6,3
170,Derrick Jones Jr.,SF,22,MIA,23.3,3.1,5.9,0.527,3.9,1.1,1,0.6,8.5,3
171,DeAndre Jordan,C,31,BRK,22,3.4,5.1,0.666,10,1.9,0.3,0.9,8.3,3
172,Justin Holiday,SG,30,IND,25,2.8,6.7,0.428,3.3,1.3,1.2,0.6,8.3,3
173,Ivica Zubac,C,22,LAC,18.4,3.3,5.3,0.613,7.5,1.1,0.2,0.9,8.3,3
174,E'Twaun Moore,SG,30,NOP,18.2,3.3,7.8,0.426,2.3,1.4,0.6,0.2,8.3,3
175,Anfernee Simons,SG,20,POR,20.7,3.1,7.7,0.399,2.2,1.4,0.4,0.1,8.3,3
176,Jalen Brunson,PG,23,DAL,17.9,3.2,6.8,0.466,2.4,3.3,0.4,0.1,8.2,3
177,Kelly Olynyk,C,28,MIA,19.4,2.7,5.9,0.462,4.6,1.7,0.7,0.3,8.2,3
178,Enes Kanter,C,27,BOS,16.9,3.4,6,0.572,7.4,1,0.4,0.7,8.1,3
179,Tony Snell,SF,28,DET,27.8,2.9,6.5,0.445,1.9,2.2,0.5,0.3,8,3
180,Danny Green,SG,32,LAL,24.8,2.9,7,0.416,3.3,1.3,1.3,0.5,8,3
181,Alex Len,C,26,SAC,17.6,3.2,5.8,0.555,5.8,0.9,0.4,0.9,8,3
182,Trevor Ariza,SF,34,POR,28.2,2.7,6.1,0.438,4.6,1.7,1.3,0.3,8,3
183,Patrick Beverley,PG,31,LAC,26.3,2.9,6.7,0.431,5.2,3.6,1.1,0.5,7.9,3
184,Omari Spellman,PF,22,GSW,18.1,2.6,6,0.431,4.5,1,0.7,0.5,7.6,3
